GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SimulateurImpot2024,com.kerware.simulateurreusine,SimulateurReusine,100,1035,40,60,24,196,32,32,7,5
SimulateurImpot2024,com.kerware.simulateur,SituationFamiliale,0,33,0,0,0,6,0,1,0,1
SimulateurImpot2024,com.kerware.simulateur,AdaptateurSimulateur,25,69,0,0,6,21,6,11,6,11
SimulateurImpot2024,com.kerware.simulateur,Simulateur,1127,0,100,0,218,0,63,0,11,0
SimulateurImpot2024,com.kerware.simulateurreusine.outils,ConstantesFiscales,3,0,0,0,1,0,1,0,1,0
SimulateurImpot2024,com.kerware.simulateurreusine.calcul,PartsFiscales,3,0,0,0,1,0,1,0,1,0
SimulateurImpot2024,com.kerware.simulateurreusine.calcul,VerificateurDonneesFiscales,10,93,2,28,3,25,3,14,1,1
SimulateurImpot2024,com.kerware.simulateurreusine.calcul,Impot,3,0,0,0,1,0,1,0,1,0
SimulateurImpot2024,com.kerware.simulateurreusine.calcul,Revenu,3,0,0,0,1,0,1,0,1,0
SimulateurImpot2024,com.kerware.simulateurreusine.calcul,Abattement,3,0,0,0,1,0,1,0,1,0
SimulateurImpot2024,com.kerware.simulateurreusine.calcul,ContributionExceptionnelle,3,0,0,0,1,0,1,0,1,0
SimulateurImpot2024,com.kerware.simulateurreusine.calcul,Decote,3,0,0,0,1,0,1,0,1,0
